Date,CBP_Intake,CBP_Custody,Transfers_In_HHS,HHS_Care,HHS_Discharged,Total_System_Load,Net_Intake,Growth_Rate_Pct,Discharge_Offset_Ratio,Load_7D_MA,Load_14D_MA,Net_Intake_7D_MA
2023-01-12,33.0,53.0,34.0,6566.0,436.0,6619.0,-402.0,,12.823529411764707,6619.0,6619.0,-402.0
2023-01-13,33.0,53.0,34.0,6566.0,436.0,6619.0,-402.0,0.0,12.823529411764707,6619.0,6619.0,-402.0
2023-01-14,33.0,53.0,34.0,6566.0,436.0,6619.0,-402.0,0.0,12.823529411764707,6619.0,6619.0,-402.0
2023-01-15,33.0,53.0,34.0,6566.0,436.0,6619.0,-402.0,0.0,12.823529411764707,6619.0,6619.0,-402.0
2023-01-16,33.0,53.0,34.0,6566.0,436.0,6619.0,-402.0,0.0,12.823529411764707,6619.0,6619.0,-402.0
2023-01-17,33.0,53.0,34.0,6566.0,436.0,6619.0,-402.0,0.0,12.823529411764707,6619.0,6619.0,-402.0
2023-01-18,33.0,53.0,34.0,6566.0,436.0,6619.0,-402.0,0.0,12.823529411764707,6619.0,6619.0,-402.0
2023-01-19,33.0,53.0,34.0,6566.0,436.0,6619.0,-402.0,0.0,12.823529411764707,6619.0,6619.0,-402.0
2023-01-20,33.0,53.0,34.0,6566.0,436.0,6619.0,-402.0,0.0,12.823529411764707,6619.0,6619.0,-402.0
2023-01-21,33.0,53.0,34.0,6566.0,436.0,6619.0,-402.0,0.0,12.823529411764707,6619.0,6619.0,-402.0
2023-01-22,32.0,49.0,39.0,7122.0,227.0,7171.0,-188.0,8.339628342649942,5.82051282051282,6697.857142857143,6669.181818181818,-371.42857142857144
2023-01-23,32.0,50.0,39.0,7280.0,181.0,7330.0,-142.0,2.2172639799191263,4.641025641025641,6799.428571428572,6724.25,-334.2857142857143
2023-01-24,47.0,42.0,47.0,7433.0,175.0,7475.0,-128.0,1.9781718963165051,3.723404255319149,6921.714285714285,6782.0,-295.14285714285717
2023-01-25,20.0,22.0,41.0,7538.0,180.0,7560.0,-139.0,1.1371237458194017,4.390243902439025,7056.142857142857,6837.571428571428,-257.57142857142856
2023-01-26,20.0,22.0,41.0,7538.0,180.0,7560.0,-139.0,0.0,4.390243902439025,7190.571428571428,6904.785714285715,-220.0
2023-01-27,20.0,22.0,41.0,7538.0,180.0,7560.0,-139.0,0.0,4.390243902439025,7325.0,6972.0,-182.42857142857142
2023-01-28,20.0,22.0,41.0,7538.0,180.0,7560.0,-139.0,0.0,4.390243902439025,7459.428571428572,7039.214285714285,-144.85714285714286
2023-01-29,23.0,45.0,11.0,7472.0,303.0,7517.0,-292.0,-0.5687830687830742,27.545454545454547,7508.857142857143,7103.357142857143,-159.71428571428572
2023-01-30,34.0,54.0,29.0,7743.0,196.0,7797.0,-167.0,3.7248902487694524,6.758620689655173,7575.571428571428,7187.5,-163.28571428571428
2023-01-31,26.0,36.0,36.0,7803.0,158.0,7839.0,-122.0,0.538668718737978,4.388888888888889,7627.571428571428,7274.642857142857,-162.42857142857142
2023-02-01,25.0,32.0,27.0,7903.0,231.0,7935.0,-204.0,1.2246460007653948,8.555555555555555,7681.142857142857,7368.642857142857,-171.71428571428572
2023-02-02,15.0,13.0,23.0,7879.0,298.0,7892.0,-275.0,-0.5419029615627013,12.956521739130435,7728.571428571428,7459.571428571428,-191.14285714285714
2023-02-03,15.0,13.0,23.0,7879.0,298.0,7892.0,-275.0,0.0,12.956521739130435,7776.0,7550.5,-210.57142857142858
2023-02-04,15.0,13.0,23.0,7879.0,298.0,7892.0,-275.0,0.0,12.956521739130435,7823.428571428572,7641.428571428572,-230.0
2023-02-05,16.0,18.0,15.0,7586.0,342.0,7604.0,-327.0,-3.6492650785605707,22.8,7835.857142857143,7672.357142857143,-235.0
2023-02-06,11.0,22.0,12.0,7720.0,196.0,7742.0,-184.0,1.8148342977380327,16.333333333333332,7828.0,7701.785714285715,-237.42857142857142
2023-02-07,16.0,20.0,20.0,7855.0,200.0,7875.0,-180.0,1.7179023508137492,10.0,7833.142857142857,7730.357142857143,-245.71428571428572
2023-02-08,93.0,196.0,169.0,7915.0,317.0,8111.0,-148.0,2.9968253968253977,1.8757396449704142,7858.285714285715,7769.714285714285,-237.71428571428572
2023-02-09,124.0,234.0,161.0,7908.0,353.0,8142.0,-192.0,0.3821970163974786,2.1925465838509317,7894.0,7811.285714285715,-225.85714285714286
2023-02-10,124.0,234.0,161.0,7908.0,353.0,8142.0,-192.0,0.0,2.1925465838509317,7929.714285714285,7852.857142857143,-214.0
2023-02-11,124.0,234.0,161.0,7908.0,353.0,8142.0,-192.0,0.0,2.1925465838509317,7965.428571428572,7894.428571428572,-202.14285714285714
2023-02-12,92.0,203.0,173.0,7434.0,317.0,7637.0,-144.0,-6.202407270940801,1.8323699421965318,7970.142857142857,7903.0,-176.0
2023-02-13,186.0,259.0,172.0,7483.0,244.0,7742.0,-72.0,1.3748854262144894,1.4186046511627908,7970.142857142857,7899.071428571428,-160.0
2023-02-14,154.0,225.0,220.0,7794.0,223.0,8019.0,-3.0,3.577886850942913,1.0136363636363637,7990.714285714285,7911.928571428572,-134.71428571428572
2023-02-15,91.0,199.0,172.0,7869.0,290.0,8068.0,-118.0,0.6110487591969083,1.686046511627907,7984.571428571428,7921.428571428572,-130.42857142857142
2023-02-16,81.0,213.0,153.0,7793.0,361.0,8006.0,-208.0,-0.7684680218145723,2.3594771241830066,7965.142857142857,7929.571428571428,-132.71428571428572
